node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
1234	156110	protein	protein	CCR5	nef
1234	156110	protein	protein	CCR5	nef
7852	156110	protein	protein	CXCR4	nef
920	155871	protein	protein	CD4	tat
1234	155871	protein	protein	CCR5	tat
1234	155871	protein	protein	CCR5	tat
7852	155871	protein	protein	CXCR4	tat
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1234	155971	protein	protein	CCR5	env
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
920	156110	protein	protein	CD4	nef
1234	156110	protein	protein	CCR5	nef
1234	156110	protein	protein	CCR5	nef
920	155871	protein	protein	CD4	tat
1234	155871	protein	protein	CCR5	tat
1234	155871	protein	protein	CCR5	tat
920	155971	protein	protein	CD4	env
1803	155971	protein	protein	DPP4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1803	155971	protein	protein	DPP4	env
1803	155971	protein	protein	DPP4	env
1803	155971	protein	protein	DPP4	env
1803	155971	protein	protein	DPP4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
1803	155971	protein	protein	DPP4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
1803	155971	protein	protein	DPP4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
7157	155971	protein	protein	TP53	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
7157	155971	protein	protein	TP53	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	156110	protein	protein	CD4	nef
7157	156110	protein	protein	TP53	nef
7852	156110	protein	protein	CXCR4	nef
7852	156110	protein	protein	CXCR4	nef
7852	156110	protein	protein	CXCR4	nef
920	155871	protein	protein	CD4	tat
7157	155871	protein	protein	TP53	tat
7852	155871	protein	protein	CXCR4	tat
920	155971	protein	protein	CD4	env
3932	155971	protein	protein	LCK	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
3932	155971	protein	protein	LCK	env
7852	155971	protein	protein	CXCR4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
3932	155971	protein	protein	LCK	env
3932	155971	protein	protein	LCK	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
7852	155971	protein	protein	CXCR4	env
920	156110	protein	protein	CD4	nef
3932	156110	protein	protein	LCK	nef
3932	156110	protein	protein	LCK	nef
3932	156110	protein	protein	LCK	nef
7852	156110	protein	protein	CXCR4	nef
7852	156110	protein	protein	CXCR4	nef
7852	156110	protein	protein	CXCR4	nef
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
920	155971	protein	protein	CD4	env
