	nsc	conclusion	cid
382	7778	CI	4632
383	7779	CI	21867904
384	7783	CI	22023757
385	7796	CI	24181320
386	7797	CI	11437
387	7805	CI	5100
388	7807	CI	135436509
389	7809	CI	24181322
390	7816	CM	73120
391	7817	CI	6451
392	7818	CI	8272
393	7819	CM	6450
394	7820	CI	135436510
395	7828	CI	20486
396	7830	CI	24181328
397	7832	CI	21520
398	7887	CI	164944
399	7914	CI	85880
400	7967	CI	12679
401	8120	CI	4696
402	8125	CI	5354373
403	8128	CI	24181355
404	8145	CI	21126644
405	8151	CI	54611851
406	8156	CI	81563
407	8186	CI	14358
408	8337	CI	3003734
409	8338	CI	222419
410	8395	CI	222462
411	8512	CI	24181362
412	8538	CI	222490
413	8540	CI	54599779
414	8541	CI	54601162
415	8625	CI	6755
416	8646	CI	135436515
417	8661	CI	222515
418	8662	CI	10603
419	8667	CI	462360
420	8673	CI	54605107
421	8675	CI	16955
422	8722	CI	1775
423	8774	CI	323
424	8929	CI	9037
425	8938	CI	3017
426	8944	CI	2871
427	8957	CI	22051793
428	8960	CI	111185
429	9010	CI	222558
430	9076	CI	73014
431	9100	CI	24181432
432	9146	CI	24181454
433	9150	CI	222615
434	9152	CI	24181458
435	9155	CI	407768
436	9168	CA	5351474
437	9169	CI	54687415
438	9219	CI	5280343
439	9220	CI	5293655
440	9221	CI	5353915
441	9222	CM	5351997
442	9291	CI	101929
443	9326	CI	222677
444	9346	CI	3802484
445	9408	CI	5280567
446	9432	CI	222693
447	9498	CI	10458
448	9600	CI	24181491
449	9607	CI	73030
450	9617	CA	135422104
451	9619	CI	21224
452	9649	CI	nan
453	9659	CI	3767
454	9665	CI	222778
455	9683	CI	nan
456	9691	CI	222785
457	9703	CI	222786
458	9704	CI	5994
459	9706	CI	5799
460	9746	CI	222819
461	9860	CI	135436534
462	9896	CI	5881
463	9902	CI	nan
464	9989	CI	24181553
465	10006	CI	222923
466	10010	CI	5351138
467	10014	CI	222929
468	10021	CI	407889
469	10064	CI	222960
470	10077	CI	16876887
471	10087	CI	24181562
472	10088	CI	222972
473	10115	CI	222990
474	10121	CI	660
475	10138	CI	24181563
476	10176	CI	3003735
477	10199	CI	24181565
478	10215	CI	223061
479	10221	CI	223063
480	10388	CI	223137
481	10427	CI	6071028
482	10429	CI	62432
483	10441	CI	135436535
484	10458	CI	135436538
485	10459	CI	4766
486	10460	CI	11292
487	10465	CI	54604874
488	10471	CI	67172
489	10476	CI	61398
490	10479	CI	7882
491	10538	CI	223173
492	10539	CI	223174
493	10549	CI	197837
494	10687	CI	223244
495	10753	CI	223274
496	10837	CI	5921991
497	10848	CI	223320
498	10894	CI	79871
499	11020	CI	223394
500	11050	CI	22210395
501	11051	CI	22210396
502	11152	CI	223473
503	11153	CI	219665
504	11208	CI	65729
505	11225	CI	7083
506	11236	CI	78159
507	11238	CI	65565
508	11239	CI	61336
509	11243	CM	73032
510	11247	CM	135421783
511	11337	CI	10010
512	11365	CI	223607
513	11547	CI	223681
514	11712	CI	135421788
515	11839	CI	135408785
516	11840	CI	54677403
517	11855	CI	932
518	11856	CI	17171
519	11889	CI	54682930
520	11892	CI	223841
521	11905	CI	3884
522	11907	CI	73386
523	11926	CI	2236
524	11978	CI	223886
525	11979	CI	223887
526	11980	CI	223888
527	11983	CI	223891
528	11986	CI	223894
529	11989	CI	135408786
530	11993	CI	135421791
531	11996	CI	223903
532	12022	CI	138269
533	12045	CI	91496
534	12050	CI	9561060
535	12052	CI	9561062
536	12054	CI	9568095
537	12086	CI	223968
538	12096	CI	15314
539	12097	CI	69462
540	12131	CI	3001343
541	12148	CI	91508
542	12150	CI	24181871
543	12174	CI	224001
544	12217	CI	224014
545	12242	CI	24181886
546	12253	CI	94986
547	12265	CI	24181892
548	12271	CI	224043
549	12463	CI	224169
550	12493	CI	6030416
551	12497	CI	224183
552	12503	CI	24181908
553	12509	CI	24181909
554	12514	CI	407443
555	12529	CI	224195
556	12532	CI	224198
557	12600	CI	224246
558	12650	CI	224279
559	12752	CI	224367
560	12764	CI	1241606
561	12930	CI	24181953
562	12944	CI	224469
563	12947	CI	224471
564	12957	CI	224478
565	13003	CI	3020289
566	13005	CI	24181962
567	13009	CI	224498
568	13034	CI	54690688
569	13107	CI	54605048
570	13203	CI	595
571	13237	CI	224602
572	13252	CI	54682468
573	13259	CI	22210397
574	13299	CI	22210398
575	13308	CI	24182023
576	13353	CI	54693792
577	13357	CI	54690689
578	13397	CI	31307
579	13413	CI	224701
580	13484	CI	22210399
581	13506	CI	66829
582	13509	CI	224748
583	13520	CI	224755
584	13549	CI	224776
585	13574	CI	224785
586	13611	CI	54605075
587	13614	CI	220466
588	13653	CI	5930298
589	13655	CI	6051991
590	13657	CI	6382324
591	13659	CI	5851321
592	13661	CI	5784053
593	13662	CI	9561072
594	13687	CI	73100
595	13697	CI	854203
596	13704	CI	224863
597	13717	CI	224870
598	13743	CI	224885
599	13746	CA	24182113
600	13755	CA	224895
601	13759	CA	224899
602	13760	CA	224900
603	13765	CA	224905
604	13778	CA	5351653
605	13782	CA	224919
606	13794	CI	224931
607	13800	CI	224934
608	13849	CI	53422204
609	13875	CI	2123
610	13961	CI	224974
611	13966	CI	80412
612	13973	CI	8672
613	13977	CI	24181285
614	13979	CI	24182141
615	13983	CI	135421828
616	13988	CI	nan
617	14023	CI	3003736
618	14040	CI	225006
619	14050	CI	83818
620	14066	CI	225023
621	14085	CI	225029
622	14098	CI	225039
623	14128	CI	53423326
624	14166	CI	225086
625	14226	CI	225127
626	14279	CI	11809
627	14312	CI	135408796
628	14416	CI	225249
629	14431	CI	70779
630	14481	CI	225285
631	14500	CI	54599927
632	14505	CI	54605109
633	14507	CI	81905
634	14522	CI	3002247
635	14538	CI	225318
636	14547	CI	225327
637	14549	CI	3003737
638	14556	CI	54598470
639	14558	CI	3000620
640	14560	CI	3001053
641	14561	CI	3000997
642	14562	CI	225339
643	14567	CI	225344
644	14569	CI	3003738
645	14574	CI	11054
646	14696	CI	225392
647	14721	CI	225405
648	14742	CI	225420
649	14787	CI	72900
650	14853	CI	78431
651	14860	CI	70385
652	14882	CI	24182234
653	14978	CI	7020
654	14992	CI	5354607
655	15099	CI	225550
656	15117	CI	21572
657	15130	CI	24182282
658	15164	CI	10459
659	15193	CI	225612
660	15200	CI	6711183
661	15246	CI	225648
662	15250	CI	3003739
663	15251	CI	3003740
664	15256	CI	225652
665	15257	CI	66810
666	15267	CI	225657
667	15268	CI	3003741
668	15269	CI	3002248
669	15271	CI	3003742
670	15273	CI	3002249
671	15274	CI	3003743
672	15277	CI	225667
673	15278	CI	225668
674	15284	CI	225670
675	15376	CI	135421837
676	15379	CI	nan
677	15428	CI	225727
678	15432	CM	4537
679	15488	CI	225766
680	15584	CA	225795
681	15600	CI	225809
682	15616	CI	24182338
683	15626	CI	5351483
684	15627	CI	2073
685	15765	CI	225906
686	15782	CI	6279093
687	15783	CI	5867402
688	15785	CI	5377203
689	15786	CI	20835477
690	15796	CI	20055418
691	15801	CI	225922
692	15869	CI	225957
693	15887	CI	21851
694	15908	CI	225987
695	15909	CI	225988
696	15917	CI	225994
697	15976	CI	54609463
698	15983	CI	78300
699	16027	CI	135408807
700	16050	CI	226041
701	16086	CM	24182377
702	16219	CI	226107
703	16223	CI	135421851
704	16224	CA	408832
705	16231	CI	16683121
706	16408	CI	226200
707	16447	CI	226226
708	16448	CI	24182433
709	16493	CI	226255
710	16534	CI	95514
711	16540	CI	226263
712	16561	CI	54604889
713	16562	CI	24182439
714	16582	CI	54677756
715	16604	CI	226282
716	16617	CI	12799
717	16634	CI	5788
718	16668	CI	79151
719	16669	CI	11967865
720	16676	CI	3003744
721	16721	CI	226342
722	16843	CI	3003745
723	16844	CI	3000621
724	16846	CI	3003746
725	16847	CI	226437
726	16859	CM	73220
727	16860	CI	226448
728	16873	CI	5908157
729	16876	CI	54599171
730	16880	CI	135421856
731	16881	CI	226458
732	16882	CI	1554971
733	16883	CI	226460
734	16884	CI	54599952
735	16895	CI	21917306
736	16963	CI	95522
737	17067	CI	226520
738	17107	CI	1598
739	17170	CI	226570
740	17171	CI	226571
741	17172	CI	226572
742	17179	CI	226578
743	17181	CI	74333
744	17234	CI	24182486
745	17239	CI	24182487
746	17266	CI	3005833
747	17306	CI	226631
748	17307	CI	226632
749	17311	CI	3003748
750	17342	CI	226658
751	17348	CI	226664
752	17439	CI	24182513
753	17447	CI	5473644
754	17456	CI	226735
755	17474	CI	2913535
756	17478	CI	24182520
757	17479	CI	6240
758	17528	CI	73822
759	17770	CI	5351678
760	17771	CI	5354712
761	17777	CI	9469
762	17786	CI	54603893
763	17787	CI	54602022
764	17788	CI	24182564
765	17789	CI	24800211
766	17796	CI	3003749
767	17800	CM	3001570
768	17807	CI	135429805
769	17809	CI	226882
770	17872	CI	31343
771	18058	CI	9561088
772	18060	CI	5464668
773	18064	CI	5464669
774	18070	CI	5920428
775	18071	CI	226987
776	18075	CI	9561091
777	18079	CI	135431242
778	18080	CI	135431243
779	18082	CI	5479853
780	18091	CI	9561097
781	18094	CI	5874777
782	18097	CI	5925842
783	18099	CI	9561099
784	18100	CI	6473971
785	18106	CI	5873005
786	18218	CI	227057
787	18255	CI	7521
788	18256	CI	7502
789	18259	CI	54605027
790	18260	CI	54599174
791	18261	CI	54601064
792	18262	CI	54602188
793	18268	CI	nan
794	18285	CI	227097
795	18298	CI	3844272
796	18299	CI	11967870
797	18300	CI	3821089
798	18313	CI	5351489
799	18334	CI	122802
800	18335	CI	409071
801	18348	CI	24182604
802	18405	CI	22603493
803	18421	CI	227135
804	18479	CI	227164
805	18489	CI	54609067
806	18615	CI	24182642
807	18617	CI	54605034
808	18618	CI	5354764
809	18621	CI	3003750
810	18702	CI	5351491
811	18712	CI	5351492
812	18720	CI	667467
813	18727	CI	197860
814	18748	CI	24182649
815	18758	CI	227281
816	18802	CI	227310
817	18805	CI	12649
818	18826	CI	227313
819	18867	CI	227324
820	18877	CI	227331
821	18894	CI	12665
822	18898	CI	227349
823	18910	CI	227355
824	18951	CI	227387
825	19024	CI	227443
826	19026	CI	5280567
827	19028	CI	10680
828	19038	CI	5351999
829	19055	CI	227460
830	19110	CI	227505
831	19191	CI	21747079
832	19214	CI	227581
833	19219	CI	135431268
834	19220	CI	642813
835	19441	CI	95122
836	19456	CI	227599
837	19457	CI	227600
838	19458	CI	74334
839	19459	CI	227601
840	19465	CI	227605
841	19477	CI	24182684
842	19483	CI	54602189
843	19492	CI	5192
844	19493	CI	2266
845	19494	CI	24466
846	19509	CI	12304060
847	19511	CI	17131
848	19664	CM	nan
849	19671	CI	3003751
850	19679	CI	224779
851	19680	CI	409210
852	19692	CI	227722
853	19696	CI	11963588
854	19707	CI	227733
855	19790	CI	5281426
856	19801	CI	5281670
857	19802	CI	5281691
858	19803	CI	5352000
859	19804	CI	nan
860	19826	CI	227776
861	19838	CI	227781
862	19857	CI	6222
863	19870	CI	3442
864	19898	CI	24182736
865	19899	CI	54609231
866	19903	CI	16683626
867	19909	CI	409273
868	19911	CI	nan
869	19912	CI	92765
870	19918	CI	227815
871	19926	CI	227820
872	19942	CI	227830
873	19973	CI	54601094
874	19976	CI	227840
875	19979	CI	54605086
876	19984	CI	9092
877	19990	CI	135431273
878	20000	CI	16698637
879	20089	CI	81210
880	20098	CI	3810402
881	20100	CI	11833
882	20117	CI	227929
883	20121	CI	135408793
884	20122	CI	3005834
885	20200	CI	8478
886	20246	CI	24182786
887	20251	CI	227987
888	20264	CI	224
889	20514	CI	227994
890	20527	CI	14839
891	20534	CI	3063063
892	20579	CI	24182804
893	20587	CI	228024
894	20608	CI	71050
895	20609	CI	70871
896	20616	CI	3003752
897	20617	CI	3003753
898	20618	CI	3003754
899	20619	CI	3003755
900	20625	CA	409373
901	20636	CI	54599450
902	20637	CI	54608320
903	20806	CI	24182832
904	20816	CI	24182834
905	20817	CI	24182835
906	20858	CI	228185
907	20864	CI	3000998
908	20866	CI	3001054
909	20867	CI	3000999
910	20871	CM	3001000
911	20877	CI	24182846
912	20985	CI	21403450
913	21026	CI	228264
914	21075	CI	228285
915	21094	CI	228289
916	21209	CI	24182871
917	21246	CI	95564
918	21276	CI	11814
919	21330	CI	79580
920	21333	CI	228412
921	21337	CI	54605129
922	21340	CI	228417
923	21345	CI	409475
924	21348	CI	409478
925	21388	CI	228451
926	21412	CI	95157
927	21419	CI	228465
928	21424	CI	228470
929	21435	CI	228481
930	21506	CI	228526
931	21536	CI	6372490
932	21539	CI	54609304
933	21545	CI	18064
934	21568	CI	228561
935	21572	CI	228565
936	21681	CI	228622
937	21919	CI	228788
938	22001	CI	228850
939	22010	CI	228856
940	22035	CI	24182924
941	22061	CI	228884
942	22070	CI	12314793
943	22089	CI	228906
944	22306	CI	24182960
945	22308	CI	nan
946	22309	CI	409576
947	22318	CI	nan
948	22323	CI	15096
949	22335	CI	5354905
950	22348	CI	229013
951	22389	CI	229036
952	22408	CI	24182971
953	22483	CI	81584
954	22489	CI	229086
955	22492	CI	229087
956	22493	CI	229088
957	22842	CI	5281707
958	22858	CI	229304
959	22941	CI	229343
960	22947	CI	24183013
961	23160	CI	409736
962	23168	CI	5464677
963	23207	CI	3003756
964	23208	CI	25256
965	23209	CI	229484
966	23219	CI	229493
967	23271	CI	408391
968	23272	CI	74033
969	23351	CI	5930190
970	23380	CI	24183061
971	23385	CI	54601127
972	23413	CI	24183063
973	23414	CI	6138288
974	23416	CI	5716814
975	23427	CI	24181889
976	23428	CI	54609398
977	23449	CI	24183078
978	23516	CI	7174
979	23517	CI	7176
980	23529	CI	229691
981	23609	CI	229740
982	23615	CI	640
983	23701	CI	229757
984	23759	CI	13769
985	23832	CI	12652062
986	23837	CI	56867
987	23880	CI	6070
988	23898	CI	10098
989	23969	CI	5351501
990	24267	CI	230026
991	24273	CI	230029
992	24275	CI	230030
993	24294	CI	1201387
994	24298	CI	230035
995	24303	CI	230036
996	24326	CI	6399284
997	24338	CI	220272
998	24479	CI	5351718
999	24500	CI	68262
1000	24513	CI	54601139
1001	24542	CI	189405
1002	24559	CI	6326719
1003	24626	CI	15689
1004	24680	CI	230122
1005	24709	CI	24183162
1006	24710	CI	15500247
1007	24711	CI	11845090
1008	24817	CI	92129
1009	24818	CI	10607
1010	24819	CI	92122
1011	24833	CI	12635
1012	24924	CI	5355079
1013	24970	CM	21749
1014	25141	CI	5351720
1015	25154	CI	4842
1016	25242	CI	54601762
1017	25343	CI	230433
1018	25351	CI	230439
1019	25353	CI	230441
1020	25397	CI	230473
1021	25413	CI	21640
1022	25427	CI	nan
1023	25431	CI	230491
1024	25505	CI	6675
1025	25603	CI	54604947
1026	25619	CI	95248
1027	25643	CI	493960
1028	25649	CI	230580
1029	25693	CI	2720
1030	25815	CI	493961
1031	25834	CM	230694
1032	25855	CI	9934
1033	25951	CI	410039
1034	25952	CI	10457
1035	26154	CI	564
1036	26199	CI	230858
1037	26211	CI	54602011
1038	26245	CI	410087
1039	26249	CI	54601147
1040	26252	CM	230879
1041	26258	CI	6758
1042	26262	CI	230885
1043	26271	CI	2907
1044	26326	CI	3885
1045	26327	CI	72732
1046	26331	CI	230911
1047	26332	CI	230912
1048	26339	CI	230916
1049	26341	CI	65744
1050	26346	CI	4101
1051	26428	CI	5281416
1052	26439	CI	457803
1053	26447	CI	230989
1054	26540	CI	231054
1055	26542	CI	95268
1056	26647	CI	10141
1057	26686	CI	135421897
1058	26707	CI	5355150
1059	26708	CI	5355151
1060	26741	CI	11967875
1061	26744	CI	72279
1062	26745	CI	68112
1063	26857	CI	24183379
1064	26878	CI	231177
1065	26943	CI	95279
1066	26980	CI	5746
1067	27047	CI	2825117
1068	27116	CI	521901
1069	27223	CI	2244
1070	27268	CI	657264
1071	27320	CI	3001052
1072	27337	CI	231320
1073	27347	CI	54602198
1074	27396	CI	54599756
1075	27397	CI	410244
1076	27417	CI	24183467
1077	27419	CI	54604979
1078	27426	CI	410256
1079	27593	CI	5281650
1080	27594	CI	231412
1081	27632	CI	231443
1082	27690	CI	231285
1083	27691	CI	231457
1084	28061	CI	231608
1085	28120	CI	66267
1086	28142	CI	5355199
1087	28282	CI	231671
1088	28352	CI	50986631
1089	28387	CI	24183581
1090	28390	CI	231723
1091	28392	CI	231725
1092	28399	CI	231727
1093	28400	CI	24183587
1094	28447	CI	410396
1095	28727	CM	47077
1096	29007	CI	232005
1097	29062	CI	54611853
1098	29215	CI	6235
1099	29227	CI	232159
1100	29232	CI	232161
1101	29448	CI	79626
1102	29449	CI	53423285
1103	29589	CI	135429809
1104	29804	CI	17037
1105	29851	CI	232429
1106	29863	CI	86471
1107	30049	CI	10355477
1108	30131	CI	232540
1109	30152	CI	3081
1110	30198	CI	24183788
1111	30223	CI	20787
1112	30506	CI	54603814
1113	30508	CI	54611809
1114	30509	CI	232676
1115	30516	CI	232681
1116	30518	CI	232683
1117	30538	CI	232697
1118	30540	CI	232699
1119	30552	CI	5281650
1120	30591	CI	232719
1121	30656	CI	71045
1122	30694	CI	95711
1123	30706	CI	95715
1124	30707	CI	232775
1125	30723	CI	232790
1126	30724	CI	232791
1127	30726	CI	232793
1128	30728	CI	232795
1129	30754	CI	232809
1130	30798	CI	54601767
1131	31048	CI	232990
1132	31054	CI	1241133
1133	31083	CI	54688606
1134	31093	CI	1380234
1135	31157	CI	410734
1136	31192	CI	1269434
1137	31242	CI	233142
1138	31243	CI	233143
1139	31293	CI	143646
1140	31539	CI	8798
1141	31592	CI	88579
1142	31678	CI	77553
1143	31714	CI	233301
1144	31811	CI	24762
1145	31815	CI	24183928
1146	31867	CI	233380
1147	31869	CI	68486
1148	31882	CI	5352001
1149	31884	CI	233390
1150	31976	CI	233452
1151	31980	CI	233454
1152	31999	CI	233470
1153	32000	CI	24183943
1154	32025	CI	14360
1155	32065	CI	3657
1156	32120	CI	83070
1157	32136	CI	54609076
1158	32137	CI	24183948
1159	32140	CI	54611685
1160	32141	CI	54605569
1161	32180	CI	54690693
1162	32207	CI	8313
1163	32363	CI	20140
1164	32428	CI	1123
1165	32600	CI	24184040
1166	32601	CI	54609083
1167	32602	CI	54608671
1168	32603	CI	233704
1169	32673	CI	233722
1170	32679	CI	233726
1171	32897	CI	736230
1172	32918	CI	5933435
1173	32942	CI	31202
1174	32944	CI	23616886
1175	32946	CI	54598306
1176	32982	CI	969516
1177	33001	CI	9878
1178	33002	CI	233869
1179	33005	CI	95746
1180	33060	CI	233915
1181	33077	CI	10944
1182	33130	CI	24184137
1183	33139	CI	233977
1184	33297	CI	44573593
1185	33377	CI	54609213
1186	33410	CI	46151
1187	33438	CI	234110
1188	33518	CI	16682751
1189	33587	CI	54690692
1190	33592	CI	70641
1191	33593	CI	234175
1192	33594	CI	135538345
1193	33599	CI	6399285
1194	33601	CI	234182
1195	33609	CI	234188
1196	33610	CI	70011
1197	33622	CI	234197
1198	33623	CI	234198
1199	33624	CI	234199
1200	33626	CI	234201
1201	33659	CI	22659
1202	33668	CA	54598501
1203	33669	CI	6603320
1204	33671	CI	54605222
1205	33679	CI	54601771
1206	33716	CI	73223
1207	33755	CI	54602201
1208	33763	CI	6862358
1209	33832	CI	54676860
1210	34017	CI	234313
1211	34018	CI	234314
1212	34019	CI	234315
1213	34020	CI	234316
1214	34021	CI	234317
1215	34029	CI	54605167
