id	name	similarity
DB01279	Galsulfase	-4.089497
DB11753	rifamycin	-4.090638
sodium-monofluorophosphate		-4.091303
DB00339	pyrazinamide	-4.093757
DB12278	propiverine	-4.096415
DB00906	tiagabine	-4.096661
DB14061	hycanthone	-4.096671
DB00615	Rifabutin	-4.0967126
DB01201	rifapentine	-4.0972514
DB09332	Kappadione	-4.101149
DB04896	milnacipran	-4.101244
DB06788	Histrelin	-4.1020894
DB01133	tiludronate	-4.103302
cycloserine-(d)		-4.105283
DB08869	tesamorelin	-4.106365
DB00917	Dinoprostone	-4.1080594
DB00768	olopatadine	-4.109905
DB01110	miconazole	-4.1116767
DB04866	halofuginone	-4.113629
DB00185	cevimeline	-4.113927
DB00920	ketotifen	-4.115767
DB09131	cupric chloride	-4.1158853
DB00686	Pentosan Polysulfate	-4.1163483
DB00666	Nafarelin	-4.1164637
DB05389	TETRACHLORODECAOXIDE	-4.117902
thiostrepton		-4.1183257
omeprazole-magnesium		-4.1187015
DB01202	levetiracetam	-4.119047
DB08810	Cinitapride	-4.120387
DB00452	Framycetin	-4.1224394
DB01082	streptomycin	-4.1226482
DB00811	ribavirin	-4.1235337
DB01053	benzylpenicillin	-4.1275687
DB00102	Becaplermin	-4.1289806
DB00776	oxcarbazepine	-4.1296177
DB04106	fotemustine	-4.1307206
DB08881	vemurafenib	-4.1317
bucladesine		-4.132436
DB00603	medroxyprogesterone acetate	-4.132625
DB04951	pirfenidone	-4.1333094
neridronic-acid		-4.1336493
DB04272		-4.133985
DB05239	cobimetinib	-4.134483
DB01045	rifampin	-4.1353264
DB00729		-4.1354995
DB08911	trametinib	-4.1355186
DB00809	tropicamide	-4.1356845
DB00120	L-Phenylalanine	-4.136525
DB08912	dabrafenib	-4.1365585
DB01593	zinc	-4.1371803
DB11560	lesinurad	-4.1396856
DB00032	Follicle Stimulating Hormone	-4.14083
DB00378	dydrogesterone	-4.1411567
DB06689	Monoethanolamine oleate	-4.1422415
DB00600	monobenzone	-4.142439
DB00276	amsacrine	-4.1428742
DB01032	probenecid	-4.1437435
DB00042	botulinum toxin type B	-4.1437984
DB09046	metreleptin	-4.1443257
DB11059	CARMELLOSE	-4.1443505
aceclidine		-4.1444664
DB00716	nedocromil	-4.1454725
DB01242	clomipramine	-4.145914
DB08818		-4.146155
hyaluronic-acid		-4.1465287
DB00311	ethoxzolamide	-4.146614
DB00944	demecarium	-4.146784
DB00243	ranolazine	-4.147403
DB01188	ciclopirox	-4.148821
DB00703	methazolamide	-4.1505203
DB01077	etidronic-acid	-4.150595
DB04854	febuxostat	-4.1506753
DB01685	topiroxostat	-4.1506753
DB13943	testosterone cypionate	-4.150977
DB00751	epinastine	-4.151345
DB06825	triptorelin	-4.151371
levocarnitine-propionate		-4.151432
DB00464	Sodium Tetradecyl Sulfate	-4.1516385
sodium-tetradecyl-sulfate		-4.1516385
DB00677	isoflurophate	-4.1516905
DB00885	pemirolast	-4.1522017
DB09555	Dexchlorpheniramine maleate	-4.152733
DB04576	fleroxacin	-4.152941
DB11660		-4.153689
DB01394	colchicine	-4.154599
DB00644	gonadorelin	-4.155017
DB06212	tolvaptan	-4.155073
prednisolone-acetate		-4.1551857
DB00446	chloramphenicol	-4.1555586
sodium-oxybate		-4.15584
DB01144	diclofenamide	-4.15662
DB01074	perhexiline	-4.1578836
DB09069	trimetazidine	-4.158764
tepoxalin		-4.1589494
DB01280	nelarabine	-4.1598654
DB04115		-4.1605678
DB00038	Oprelvekin	-4.16066
DB12319	benzbromarone	-4.16086
DB08932	macitentan	-4.160995
DB01420	Testosterone Propionate	-4.1612616
DB00812	Phenylbutazone	-4.1614766
DB01099	flucytosine	-4.161624
bifemelane		-4.161969
DB00770	alprostadil	-4.162208
desmopressin-acetate		-4.162541
DB01208	sparfloxacin	-4.1629133
DB00396	progesterone	-4.1631346
DB01590	everolimus	-4.164563
DB00626	bacitracin	-4.164618
DB00417	penicillin-v-potassium	-4.16483
DB00631	clofarabine	-4.165899
DB12865	velcalcetide	-4.166067
DB12230	bunazosin	-4.1669655
DB00745	modafinil	-4.166983
DB00976	telithromycin	-4.167118
testosterone-undecanoate		-4.167404
testosterone-enanthate		-4.167404
DB00505	tridihexethyl	-4.1676717
DB01744	Camphor	-4.167675
DB01284	Cosyntropin	-4.1688085
DB06243	eflornithine	-4.169293
DB00348	nitisinone	-4.1693773
DB00321	amitriptyline	-4.170005
desoxycorticosterone-pivalate		-4.1703887
DB04941	CROFELEMER	-4.1704354
DB00429	Carboprost Tromethamine	-4.170447
DB01411	pranlukast	-4.170725
DB00051	Adalimumab	-4.1707683
DB00951	Isoniazid	-4.1707706
DB08800	chloropyramine	-4.171118
DB01057	Ecothiopate	-4.1711984
pralidoxime-chloride		-4.1714373
DB00836	loperamide	-4.171903
DB00687	Fludrocortisone	-4.1719246
DB04841	flunarizine	-4.1719275
DB01071	Mequitazine	-4.172031
DB06282	levocetirizine	-4.172031
DB00012	Darbepoetin alfa	-4.1720595
DB00016	Erythropoietin	-4.1720595
DB09107	METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA	-4.1720595
DB08894	PEGINESATIDE	-4.1720595
DB13954	estradiol cypionate	-4.1720834
DB06413	armodafinil	-4.172422
DB09262	imidafenacin	-4.1727242
DB00896	rimexolone	-4.1728497
DB09083	ivabradine	-4.1730037
DB08879	Belimumab	-4.1730456
DB00297	bupivacaine	-4.1734667
DB00717	norethindrone	-4.173929
DB09091	Tixocortol	-4.174076
DB00819	acetazolamide	-4.1741247
DB00527	cinchocaine	-4.174179
DB00196	fluconazole	-4.1742654
DB00441	gemcitabine	-4.174822
DB00882	clomifene	-4.1750803
DB09371	noretynodrel	-4.175263
DB05351	dexlansoprazole	-4.175508
DB00873	loteprednol	-4.1755342
DB01281	Abatacept	-4.1755486
DB00858	Drostanolone	-4.175663
DB01440	Gamma Hydroxybutyric Acid	-4.176336
DB09085	tetracaine	-4.1764126
5-hydroxytryptophan		-4.176659
piperidolate		-4.177005
pipenzolate		-4.177005
DB06709	methacholine	-4.1779413
DB01429	aprindine	-4.1780024
DB00005	Etanercept	-4.1780796
DB00394	beclomethasone-dipropionate	-4.1784077
DB06230	nalmefene	-4.1784596
DB00559	bosentan	-4.178599
ibuprofen-lysine		-4.178705
DB00530	erlotinib	-4.179391
DB00909	zonisamide	-4.1798096
DB06736	aceclofenac	-4.179849
DB09119	eslicarbazepine-acetate	-4.1803637
DB04519	octanoic acid	-4.18042
diphemanil		-4.1805506
DB03255	Phenol	-4.1807504
DB00624	testosterone	-4.180825
DB11591	bilastine	-4.181018
DB00980	ramelteon	-4.1810956
DB00557	hydroxyzine	-4.1811895
DB00724	imiquimod	-4.181288
DB00422	methylphenidate	-4.181489
DB09220	nicorandil	-4.18149
DB00726	trimipramine	-4.181574
DB06766	alcaftadine	-4.1816764
DB06218	lacosamide	-4.1818337
DB00532	mephenytoin	-4.181874
DB00244	mesalazine	-4.1822786
DB09304	setiptiline	-4.1823564
DB06710	Methyltestosterone	-4.1824665
DB00094		-4.1824937
gentamycin		-4.1828685
DB09034	suvorexant	-4.1831956
DB01295	bevantolol	-4.183933
DB11131	capsicum oleoresin	-4.184008
DB01244	bepridil	-4.1843085
DB00893	IRON DEXTRAN	-4.184411
DB04665	coumarin	-4.1846766
DB11767	sarilumab	-4.1846905
DB00866	alprenolol	-4.18474
DB00890	dienestrol	-4.1849165
ACT-132577		-4.1853013
DB06403	ambrisentan	-4.1853013
DB01576	dextroamphetamine	-4.1853976
DB01243	chloroxine	-4.185717
DB04575	quinestrol	-4.186303
DB06674	golimumab	-4.1868987
DB08883	perampanel	-4.187017
DB06824	trientine	-4.18714
DB01401	Trisalicylate-choline	-4.1871724
DB01615	Aceprometazine	-4.1872354
DB00056	Gemtuzumab ozogamicin	-4.1872716
DB07615	tranilast	-4.187405
DB09401	isosorbide	-4.1875114
DB01250	olsalazine	-4.188002
arsenic-trioxide		-4.1882534
chlormadinone-acetate		-4.1885266
DB01081	Diphenoxylate	-4.1886353
DB00233	aminosalicylate	-4.1887026
DB00868	benzonatate	-4.188768
DB00599	thiopental	-4.1888576
DB06412	oxymetholone	-4.1892233
DB09143	sonidegib	-4.1893
DB08828	vismodegib	-4.1893
DB00463	metharbital	-4.1895685
DB08839	serotonin	-4.1896987
DB00091	cyclosporine	-4.189847
DB00230	pregabalin	-4.1898694
DB01157	Trimetrexate	-4.1899037
DB06713	norelgestromin	-4.190412
DB00081	Tositumomab	-4.190502
tannic-acid		-4.1907816
DB04953	retigabine	-4.1910367
DB08935	obinutuzumab	-4.1913476
DB09185	viloxazine	-4.1916275
DB01483	barbital	-4.191746
DB00713	Oxacillin	-4.1919055
DB09049	naloxegol	-4.19198
DB00007	leuprolide	-4.192171
DB13169	nandrolone	-4.192205
DB00848	Levamisole	-4.192229
DB00065	Infliximab	-4.1922936
DB00176	fluvoxamine	-4.192458
DB00605	sulindac	-4.1925178
DB00823	ethynodiol-diacetate	-4.192562
DB00121	Biotin	-4.1925654
DB01019	bethanechol	-4.1930513
DB01327	cefazolin	-4.1931815
DB00736	esomeprazole	-4.193301
DB01084	emedastine	-4.193424
DB02530	GAMMA-AMINOBUTYRIC ACID	-4.193488
DB08872	gabapentin-enacarbil	-4.1936507
DB06626	axitinib	-4.1937203
DB00402	eszopiclone	-4.1941566
DB00883	isosorbide-dinitrate	-4.194519
DB00306	Talbutal	-4.1947722
DB00203	sildenafil	-4.194829
DB00398	sorafenib	-4.1951876
DB00411	carbachol	-4.1952763
DB06480	prucalopride	-4.1954203
DB01628	etoricoxib	-4.195421
DB12010	fostamatinib	-4.195557
DB12483	copanlisib	-4.1957946
DB00255	Diethylstilbestrol	-4.1958065
DB01151	desipramine	-4.1958933
DB00825	levomenthol	-4.195904
DB00173	Adenine	-4.1959076
DB01192	Oxymorphone	-4.1959453
DB01184	domperidone	-4.1959834
DB01956	taurine	-4.1962347
DB01257	Eculizumab	-4.1963673
DB00193	tramadol	-4.196393
DB02772	SUCROSE	-4.1967897
DB00119	Pyruvic acid	-4.1968317
DB01117	atovaquone	-4.1968822
DB06699	degarelix	-4.1969523
DB00106	Abarelix	-4.1969523
DB01353	Butethal	-4.1970096
DB06800	methylnaltrexone	-4.197128
DB00066		-4.197234
DB11362	selexipag	-4.197427
DB00286	Conjugated Estrogens	-4.1975384
DB11582	thiocolchicoside	-4.197679
DB00295	Morphine	-4.1976957
DB06719	Buserelin	-4.1976976
DB08906	fluticasone furoate	-4.1977215
DB04890	bepotastine	-4.1981273
DB01080	vigabatrin	-4.198269
DB01198	Zopiclone	-4.1984653
telotristat-ethyl		-4.1985445
DB00043	omalizumab	-4.1986423
DB00665	nilutamide	-4.1989555
DB00449	dipivefrine	-4.1989965
DB00801	Halazepam	-4.1990056
DB04865	homoharringtonine	-4.1990967
flopropione		-4.199101
DB08895	tofacitinib	-4.1991215
DB00499	flutamide	-4.1993656
DB00150	tryptophan	-4.1994543
DB08880	teriflunomide	-4.199563
DB00174	L-Asparagine	-4.1995707
DB00371	meprobamate	-4.19962
DB00984	Nandrolone phenpropionate	-4.1998644
DB09481	magnesium carbonate	-4.1998777
DB00324	fluorometholone	-4.199882
DB00122	Choline	-4.2001824
DB09516	mequinol	-4.2002363
DB09526	hydroquinone	-4.2002363
DB00645	dyclonine	-4.2002387
DB00127	Spermine	-4.20025
DB00675	tamoxifen	-4.2004166
DB00148		-4.20071
DB00114	Pyridoxal Phosphate	-4.200757
DB00152	thiamine	-4.201405
DB04931	MSH, 4-Nle-7-Phe-alpha-	-4.201472
DB01086	Benzocaine	-4.2014947
DB06714	propylhexedrine	-4.2016172
DB00504	levallorphan	-4.201645
DB00129	L-Ornithine	-4.201668
DB01708	Dehydroepiandrosterone	-4.2017756
DB00130	glutamine-(l)	-4.201928
DB11817	baricitinib	-4.201973
DB00125	L-Arginine	-4.2020836
dexamethasone-sodium-phosphate		-4.2021885
DB06782	dimercaprol	-4.202464
DB00947	fulvestrant	-4.202513
DB04938	ospemifene	-4.2025995
DB11988	ocrelizumab	-4.202871
DB00425	zolpidem	-4.202911
DB08986	etifoxine	-4.202996
DB00435	Nitric Oxide	-4.2030067
DB00977	ethinyl-estradiol	-4.2032104
DB07477	felbinac	-4.2033033
DB08801	dimetindene	-4.20349
DB00964	apraclonidine	-4.203805
DB09079	nintedanib	-4.20386
DB00469	tenoxicam	-4.2038813
DB04465	Lactose	-4.2039666
DB09568	Omega-3-carboxylic acids	-4.2039824
DB09462	Glycerin	-4.2040906
DB09166	etizolam	-4.204133
bendazac		-4.20422
DB13217	fentiazac	-4.20422
DB09146	Sucroferric Oxyhydroxide	-4.204305
DB08904	Certolizumab pegol	-4.204327
DB01138	sulfinpyrazone	-4.204351
DB01128	bicalutamide	-4.204409
DB00143	Glutathione	-4.204419
DB00182	Amphetamine	-4.204566
DB11696	racecadotril	-4.2045665
DB01577	Methamphetamine	-4.204627
DB00131	Adenosine monophosphate	-4.204802
DB06688	sipuleucel-T	-4.2049108
tebipenem		-4.2050824
DB00476	duloxetine	-4.2051673
DB00986	Glycopyrronium	-4.2053266
DB01097	leflunomide	-4.205362
DB08804	Nandrolone decanoate	-4.205549
DB06267	Udenafil	-4.2055745
DB06237	avanafil	-4.2055745
DB11792	mirodenafil	-4.2055745
DB00014	goserelin-acetate	-4.2058473
DB09126		-4.2059164
DB01839	propylene glycol	-4.206169
DB00783	estradiol	-4.2062125
DB01404	GINSENG	-4.2064548
DB04552	niflumic-acid	-4.206501
DB00383	oxyphencyclimine	-4.2065415
DB09000	cyamemazine	-4.2066007
DB00309	vindesine	-4.2066116
DB00862	vardenafil	-4.2066445
DB01196	estramustine	-4.2066584
DB01586	ursodiol	-4.2067823
DB00738	pentamidine	-4.2068653
DB00154	gamma-Homolinolenic acid	-4.207074
DB00655	Estrone	-4.207221
DB01297		-4.207626
DB09221	Polaprezinc	-4.2077093
DB09029	secukinumab	-4.20782
DB00601	linezolid	-4.2080827
DB00072	trastuzumab	-4.208217
DB04868	nilotinib	-4.2082696
DB00831	trifluoperazine	-4.208296
DB05676	apremilast	-4.2087035
DB06777	chenodeoxycholic-acid	-4.2087064
DB00820	tadalafil	-4.2087655
DB00554	piroxicam	-4.2088037
DB00155	L-Citrulline	-4.2088428
fenigam		-4.209008
psoralen		-4.209138
DB09517	sodium ferric gluconate complex	-4.209223
DB00141	N-Acetyl-D-glucosamine	-4.2092686
DB13179	troleandomycin	-4.2093635
DB09283	trapidil	-4.2093697
DB08899	enzalutamide	-4.209575
DB05679	Ustekinumab	-4.209735
L-Arginine		-4.209867
DB01025	amlexanox	-4.21008
DB01049	Ergoloid mesylate	-4.210125
DB00163	Vitamin E	-4.210184
DB01580	oxprenolol	-4.210296
DB00423	methocarbamol	-4.210405
DB01595	Nitrazepam	-4.210516
DB11324	nonivamide	-4.2105675
DB01102	Arbutamine	-4.210685
DB00192		-4.210802
DB03017		-4.211081
DB02901	dihydrotestosterone	-4.2112117
DB09053	ibrutinib	-4.2112145
DB11619	gestrinone	-4.211402
adiphenine		-4.2114305
DB00621	oxandrolone	-4.211864
DB09123	dienogest	-4.2119775
DB00304	desogestrel	-4.2122025
DB00850	perphenazine	-4.212305
DB00704	naltrexone	-4.212425
DB00181	baclofen	-4.2124987
DB00024		-4.2125635
DB00187	esmolol	-4.212581
DB00338	omeprazole	-4.212611
DB06809	plerixafor	-4.21272
DB09070	tibolone	-4.2127695
DB01409	tiotropium	-4.212802
DB01592	Iron	-4.21284
DB00555	lamotrigine	-4.212855
DB00993	azathioprine	-4.213103
DB00132		-4.213144
DB01296	glucosamine	-4.2131996
meldonium		-4.2132235
DB13345	DIHYDROERGOCRISTINE	-4.2137384
DB00110	palivizumab	-4.213824
DB11273	DIHYDROERGOCORNINE	-4.2139473
DB00924	cyclobenzaprine	-4.214028
DB00957	norgestimate	-4.214145
DB00762	irinotecan	-4.2147336
DB08984	etofenamate	-4.214748
DB09018	bromopride	-4.2149043
DB00795	sulfasalazine	-4.2149053
DB05829	PARATHYROID HORMONE	-4.2151837
DB01248	docetaxel	-4.21526
DB06153	pizotifen	-4.21541
L-Citrulline		-4.2154427
silibinin		-4.215667
DB11130	Opium	-4.2159986
DB06287	temsirolimus	-4.2161007
DB06701	Dexmethylphenidate	-4.2161098
DB00352	thioguanine	-4.216123
DB05266	ibudilast	-4.2165494
DB01216	finasteride	-4.2165895
estropipate		-4.2166457
DB00651	dyphylline	-4.2169523
DB00541	vincristine	-4.217262
DB06288	amisulpride	-4.217263
DB00117	L-Histidine	-4.2172737
DB08910	pomalidomide	-4.217389
DB01211	clarithromycin	-4.217565
DB01285	Corticotropin	-4.217571
DB00696	ergotamine	-4.2176414
DB08889	carfilzomib	-4.2178044
DB00814	meloxicam	-4.217847
DB01399	sasapyrine	-4.217847
DB09078	lenvatinib	-4.2178473
DB00688	mycophenolate-mofetil	-4.2178597
DB01024	mycophenolic-acid	-4.2178597
DB01698	rutin	-4.2179136
DB00861	diflunisal	-4.2179704
DB00253	medrysone	-4.2181125
DB06202	lasofoxifene	-4.218379
DB00262	carmustine	-4.218418
DB00662	trimethobenzamide	-4.2185907
DB01306	insulin aspart, biphasic isophane [injection]	-4.218602
azelaic-acid		-4.218888
DB00118	ademetionine	-4.218895
DB00607	Nafcillin	-4.2189264
DB08992	eperisone	-4.219049
DB04894	Vapreotide	-4.2191386
DB00740	riluzole	-4.2192087
DB01253	ergonovine	-4.2192802
DB00123	L-Lysine	-4.2194223
DB06317	Elotuzumab	-4.2196784
DB00041	aldesleukin	-4.2197094
minodronic-acid		-4.219827
DB00428	streptozotocin	-4.2198405
DB00604	Cisapride	-4.2199373
DB00669	sumatriptan	-4.220166
penfluridol		-4.22023
DB09223	blonanserin	-4.2202673
DB00875	flupentixol	-4.220295
DB08808	bupranolol	-4.220335
nemonapride		-4.2204266
DB13036	ramatroban	-4.220717
DB01014	balsalazide	-4.2207885
DB01233	metoclopramide	-4.220812
DB14006	choline salicylate	-4.220832
DB04942	tamibarotene	-4.220874
DB00320	dihydroergotamine	-4.220971
DB01223	Aminophylline	-4.22109
DB00216	eletriptan	-4.2211595
DB00289	atomoxetine	-4.2211733
DB01012	cinacalcet	-4.221406
DB06268	Sitaxentan	-4.221413
DB00572	atropine	-4.221683
DB06650	ofatumumab	-4.221748
DB00549	zafirlukast	-4.221773
DB00277	Theophylline	-4.2218547
DB01217	anastrozole	-4.2219477
DB00894	testolactone	-4.2219477
DB00990	exemestane	-4.2219477
DB01006	letrozole	-4.2221084
DB06144	Sertindole	-4.2221355
DB01034		-4.222208
haloperidol-decanoate		-4.222305
DB09054	idelalisib	-4.2223144
DB12023	benralizumab	-4.2223206
DB00092	alefacept	-4.2224326
DB00095	efalizumab	-4.222596
DB01170	guanethidine	-4.2226863
DB06637	dalfampridine	-4.222704
fluphenazine-decanoate		-4.222706
DB04946	iloperidone	-4.2227283
DB06201	rufinamide	-4.2227287
DB06016	cariprazine	-4.2228327
DB00755	tretinoin	-4.22289
DB09225	zotepine	-4.223214
DB00706	tamsulosin	-4.2234373
DB05812	abiraterone	-4.2234926
DB11994	diacerein	-4.223538
spiperone		-4.223621
DB01094	Hesperetin	-4.223652
DB00744	zileuton	-4.223652
DB00356	chlorzoxazone	-4.2236586
DB00237	butabarbital	-4.223831
DB12836	grapiprant	-4.2239575
DB09204	arotinolol	-4.2240815
DB01177	idarubicin	-4.224691
DB01283	Lumiracoxib	-4.2247887
DB00877	sirolimus	-4.225067
cortisone		-4.225191
DB00020	sargramostim	-4.2252827
DB00002	Cetuximab	-4.225311
DB00480	lenalidomide	-4.2254143
DB00437	allopurinol	-4.225419
DB01618	molindone	-4.225436
DB00587		-4.225513
DB06739	seratrodast	-4.225563
DB08604		-4.225584
DB01255	Lisdexamfetamine	-4.2259965
DB01191	Dexfenfluramine	-4.2260594
DB01407	clenbuterol	-4.226075
DB04840	debrisoquin	-4.226087
DB06204	tapentadol	-4.2261777
DB00327	Hydromorphone	-4.226268
DB00315	zolmitriptan	-4.226317
DB00952	naratriptan	-4.226317
DB00953	rizatriptan	-4.226317
DB08799	antazoline	-4.2264233
DB01656	roflumilast	-4.226506
DB01169	Arsenic trioxide	-4.226583
DB01090	pentolinium	-4.226695
DB01320	fosphenytoin	-4.2267003
DB01412	Theobromine	-4.2267275
DB05990	obeticholic acid	-4.2268686
DB02701	nicotinamide	-4.2269435
DB00395	carisoprodol	-4.2270327
DB00568	cinnarizine	-4.2270393
prednisolone-sodium-phosphate		-4.227047
DB00535	cefdinir	-4.227062
DB12233	iguratimod	-4.2271276
DB01403	levomepromazine	-4.227161
DB09286	pipamperone	-4.2273717
DB01005	hydroxyurea	-4.2274523
DB09273	doxofylline	-4.22756
DB00458	imipramine	-4.2275677
DB01623	thiothixene	-4.2276344
DB11157		-4.227692
DB01171	moclobemide	-4.2277193
DB11136	CHROMIUM	-4.2277236
DB00445	epirubicin	-4.227845
DB01622	thioproperazine	-4.22786
DB00933	mesoridazine	-4.227889
xipamide		-4.2279177
DB12867	benperidol	-4.22801
DB12401	bromperidol	-4.22801
DB00290	bleomycin	-4.228045
DB00221	isoetharine	-4.228474
clorprenaline		-4.228474
DB00082	Pegvisomant	-4.2285833
butorphanol-(+)-tartrate		-4.228615
DB13167	alclofenac	-4.228742
DB09212	loxoprofen	-4.228742
DB02659	cholic-acid	-4.228755
methylprednisolone-aceponate		-4.228761
DB09033	vedolizumab	-4.2290134
etofylline		-4.2292356
acefylline		-4.2292356
DB01231	diphenidol	-4.229258
DB09282	molsidomine	-4.229282
DB00317	gefitinib	-4.2293825
DB01239	chlorprothixene	-4.2294908
DB00211	midodrine	-4.229541
DB00361	vinorelbine	-4.229702
DB00998	frovatriptan	-4.2298455
DB06791	Lanreotide	-4.2299566
DB00972	azelastine	-4.2301264
DB01621	Pipotiazine	-4.2301936
DB02300	calcipotriol	-4.2304063
DB00349	clobazam	-4.2304363
DB09301	CHONDROITIN SODIUM	-4.2304444
cyclosporin-a		-4.2304587
hydrocortisone-phosphate		-4.2305155
DB01430	almitrine	-4.230772
DB05265	ecabet	-4.2309093
DB04842	fluspirilene	-4.2312813
amtolmetin-guacil		-4.2313223
flurbiprofen-(S)-(+)		-4.2313223
DB00991	oxaprozin	-4.2313223
DB00500	tolmetin	-4.2313223
DB00461	nabumetone	-4.2313223
DB11834	guselkumab	-4.231323
DB00108	Natalizumab	-4.2316203
DB00918	almotriptan	-4.231718
DB01303		-4.231859
mofezolac		-4.2319765
DB00548	Azelaic Acid	-4.2320004
DB00574	Fenfluramine	-4.232158
DB00835	brompheniramine	-4.232216
deracoxib		-4.232324
DB09217	firocoxib	-4.232324
DB00748	carbinoxamine	-4.23233
DB00623	fluphenazine	-4.23244
DB06410	doxercalciferol	-4.232459
DB01015	sulfamethoxazole	-4.232486
DB01238	aripiprazole	-4.2324915
DB04743	nimesulide	-4.232513
DB00139	Succinic acid	-4.2326555
DB04845	ixabepilone	-4.2327013
mozavaptan		-4.232738
DB00737	meclizine	-4.232809
DB01452	Heroin	-4.2328506
DB09215	droxicam	-4.232921
DB12248	tulobuterol	-4.2331295
DB04871	lorcaserin	-4.2333646
DB01118	amiodarone	-4.2336073
DB00508	triflupromazine	-4.233815
DB02925	piretanide	-4.2338734
DB08961	azosemide	-4.2338734
DB00821	carprofen	-4.2339606
DB13783	acemetacin	-4.2339606
DB00983	formoterol	-4.2341228
DB00938	salmeterol	-4.2341228
DB01357	mestranol	-4.234352
DB04932	Defibrotide	-4.234432
DB00872	conivaptan	-4.234537
DB09082	vilanterol	-4.234766
DB01274	Arformoterol	-4.234766
DB00433	prochlorperazine	-4.2348933
DB00246	ziprasidone	-4.2349467
DB00207	azithromycin	-4.235358
DB06439	Tyloxapol	-4.235448
DB06725	lornoxicam	-4.235539
DB00408	loxapine	-4.235677
DB11081	Aluminium chloride	-4.2357216
DB01083	orlistat	-4.235812
DB00562	benzthiazide	-4.2358446
DB00028		-4.2359476
DB00377	palonosetron	-4.236105
DB00889	granisetron	-4.236105
DB00757	dolasetron	-4.236105
DB01050	ibuprofen	-4.2363825
DB08955	ibuproxam	-4.236403
DB01267	paliperidone	-4.236503
DB00448	lansoprazole	-4.2365456
DB00987	cytarabine	-4.2365932
DB08931	riociguat	-4.236619
DB00133	L-Serine	-4.2366314
DB00138	L-Cystine	-4.236657
DB01309	Insulin Glulisine	-4.2366853
DB00273	topiramate	-4.2367406
DB00444	teniposide	-4.236818
DB01435	phenazone	-4.2368546
fluocinolone-acetonide		-4.23699
DB01579	Phendimetrazine	-4.237194
DB06616	bosutinib	-4.2372246
DB00210	adapalene	-4.23729
DB00734	risperidone	-4.2373075
DB09331	daratumumab	-4.2373257
DB08811	tofisopam	-4.237507
DB09035	Nivolumab	-4.2376065
DB09037	Pembrolizumab	-4.2376065
DB00707	PORFIMER SODIUM	-4.237617
DB00985	dimenhydrinate	-4.237626
DB00387	procyclidine	-4.2378497
DB00531	cyclophosphamide	-4.2378817
DB00188	bortezomib	-4.2381873
DB01143	amifostine	-4.2383847
fludarabine-phosphate		-4.238533
DB01212	ceftriaxone	-4.238651
DB00380	dexrazoxane	-4.239033
DB08922	perospirone	-4.2390575
DB06155	Rimonabant	-4.239067
DB01026	ketoconazole	-4.2391047
DB00563	methotrexate	-4.239189
DB08807	bopindolol	-4.2392497
DB00627	niacin	-4.239271
DB01105	Sibutramine	-4.2393403
DB00511		-4.23956
DB00405	Dexbrompheniramine	-4.239599
DB00996	gabapentin	-4.2396574
